name,price,rating,distance,latitude,longitude
Royal India,$$$$,1.0,1044.2880233270057,53.021252,18.613106
Manekin,$,3.8,894.2090844527,53.021725,18.59627
Restauracja Po Naszemu Sp. z o.o.,$$,4.8,1201.6852389495552,53.021725,18.59627
Pizzeria Piccolo,$,4.0,1278.0007784873444,53.021725,18.59627
Cafe Molus,$,4.0,988.9508636492699,53.021725,18.59627
Loft79,$$$,3.3,1263.6357089211308,53.021725,18.59627
New York's Pizza,,2.0,894.2090844527,53.021725,18.59627
Eragon,,4.0,620.1065023502322,53.021725,18.59627
Presto,,4.5,858.1575405204168,53.021725,18.59627
Bar Hetmański Fischer Jadwiga,,5.0,1044.7092092176808,53.021725,18.59627
Pizzeria Goya,,1.0,634.8188924881072,53.021725,18.59627
Cukiernia Sowa,,3.0,46.87866997776951,53.024468,18.638258
North Fish,,4.0,189.59582874555915,53.024468,18.638258
Saj Gon,$,2.0,170.71809187109324,53.024468,18.638258
Grycan,,3.0,76.77917044522955,53.024468,18.638258
Pierogarnia Stary Toruń,$$,4.4,434.7150306588699,53.015745,18.607203
Restauracja Po Naszemu Sp. z o.o.,$$,4.8,331.8453935807378,53.015745,18.607203
Pizzeria Piccolo,$,4.0,343.86437620142107,53.015745,18.607203
Browar Staromiejski Jan Olbracht,$$,3.8,534.1557407755896,53.015745,18.607203
Manekin,$,3.8,624.9773023146208,53.015745,18.607203
Cukiernia Lenkiewicz,$$,4.8,566.2093245241622,53.015745,18.607203
Stare Metropolis,$$$$,4.9,656.7937881358965,53.015745,18.607203
Cafe Lenkiewicz,$$,4.5,572.0430839591942,53.015745,18.607203
Chleb i Wino,$$,4.3,587.2860137685619,53.015745,18.607203
Karczma Gęsia Szyja,$$,4.0,511.25191207423865,53.015745,18.607203
Coffee & Whisky House,$$,4.3,1145.676836719205,53.000452,18.613884
Coffee2Go,,4.0,79.8616033146153,53.000452,18.613884
Restauracja Luizjana,$$,4.0,1031.2827434558826,53.000452,18.613884
Oberża,,4.3,1097.4940929615334,53.000452,18.613884
Kadr,$$,3.7,1058.6477968475074,53.000452,18.613884
Casa Bonicatti,,5.0,988.33980139046,53.000452,18.613884
Restauracja Pueblo,,3.3,1037.5309328527003,53.000452,18.613884
Żywe Muzeum Piernika,,4.3,1088.9196014560366,53.000452,18.613884
Restauracja włoska i pizzeria Napolitano,,5.0,990.9461456581657,53.000452,18.613884
Muzeum Zabawek i Bajek,,5.0,1198.640357223122,53.000452,18.613884
Pierogarnia Stary Toruń,$$,4.4,336.00423642143085,53.011939,18.611414
Cukiernia Lenkiewicz,$$,4.8,152.4750393048466,53.011939,18.611414
Pizzeria Piccolo,$,4.0,237.30498536986025,53.011939,18.611414
Karczma Gęsia Szyja,$$,4.0,283.5135713121445,53.011939,18.611414
Browar Staromiejski Jan Olbracht,$$,3.8,398.67739461740746,53.011939,18.611414
Stare Metropolis,$$$$,4.9,392.8702380015605,53.011939,18.611414
Szeroka No. 9,$$,4.4,270.5230142228768,53.011939,18.611414
Restauracja Po Naszemu Sp. z o.o.,$$,4.8,348.8295206379132,53.011939,18.611414
Cafe Lenkiewicz,$$,4.5,444.6010163540944,53.011939,18.611414
Pierogarnia Stary Młyn,$$,4.8,367.0772978994344,53.011939,18.611414
Coffee2Go,,4.0,1239.780623037866,52.993479,18.629549
