name,price,rating,distance,latitude,longitude
Montenegro,1.0,8.0,860,53.035522,18.599119
Kinga Łuczak Usługi Hotelowe,,,42,53.035522,18.599119
Klif. Bar,2.0,,105,53.035522,18.599119
Klif. Bar,2.0,,109,53.035522,18.599119
KFC,1.0,6.3,962,53.035522,18.599119
Stara Paczkarnia,1.0,,260,53.035522,18.599119
Pizzeria Wenecja,1.0,,351,53.035522,18.599119
Lodmix Szczególski Sławomir,2.0,,360,53.035522,18.599119
Drink Bar Sierżant Dawid Kościecha,1.0,,392,53.035522,18.599119
Blue Kaktus. Pub,2.0,,507,53.035522,18.599119
KFC,1.0,6.5,412,53.02348,18.659069
Mała Gastronomia Cegielski Jerzy,1.0,,163,53.02348,18.659069
Wild Bean Cafe,1.0,,383,53.02348,18.659069
Pizzeria Yarpen,1.0,,489,53.02348,18.659069
Caffe Bar. Drink-bar,2.0,,519,53.02348,18.659069
Skrzynka,,,525,53.02348,18.659069
Ajsu Kebab,,,599,53.02348,18.659069
Kawiarnia Staś Kwiatkowska Alicja,1.0,,635,53.02348,18.659069
Dariusz Nowak,,,639,53.02348,18.659069
Policealna Szkoła Usług Turystycznych,,,714,53.02348,18.659069
Krystyna Bryla Mala Gastronomia Lodziarnia,,,50,53.027043,18.679764
Punkt Sprzedaży Małej Gastronomi Koźlikowska Aleksandra,1.0,,102,53.027043,18.679764
Ajsu Kebab,,,108,53.027043,18.679764
Kwadrans Cafe Toruń,1.0,,156,53.027043,18.679764
Kebab Star,1.0,,156,53.027043,18.679764
Portos,2.0,,178,53.027043,18.679764
Mar Changlin Chang Lin Firma,,,185,53.027043,18.679764
Restauracja Chińska Chang Lin,1.0,,190,53.027043,18.679764
Gruby Benek. Pizzeria,1.0,,199,53.027043,18.679764
Enigma,2.0,,291,53.027043,18.679764
Manekin,,8.4,578,53.015872,18.601638
Coffee & Whisky House,3.0,8.8,810,53.015872,18.601638
Bread House Cafe,1.0,8.4,656,53.015872,18.601638
Szeroka No.9,,8.5,731,53.015872,18.601638
Pierogarnia Stary Toruń,1.0,8.1,545,53.015872,18.601638
Apartamenty Monka,,8.4,834,53.015872,18.601638
Copernicus Toruń Hotel,,8.6,945,53.015872,18.601638
Pierogarnia Stary Młyn,1.0,8.1,749,53.015872,18.601638
Jan Olbracht Browar Staromiejski,2.0,7.8,598,53.015872,18.601638
Stare Metropolis,1.0,7.2,759,53.015872,18.601638
KFC,1.0,6.3,103,53.031525,18.610275
McDonald's,1.0,5.9,55,53.031525,18.610275
Pokoje Alfa,,,65,53.031525,18.610275
Bar Hotelowy Alfa,1.0,,65,53.031525,18.610275
G132 Office & Restaurant,,,70,53.031525,18.610275
Wild Bean Cafe,1.0,,79,53.031525,18.610275
"Hotel i Karczma ""Spichrz""",,,313,53.031525,18.610275
Wild Bean Cafe,1.0,,319,53.031525,18.610275
Mio Piano Restaurant,2.0,,339,53.031525,18.610275
Blue Kaktus. Pub,2.0,,367,53.031525,18.610275
Hotel Filmar,,7.0,743,53.023882,18.61791
Kebab,,,66,53.023882,18.61791
Mediterian,2.0,,83,53.023882,18.61791
Apartament Delfin II,,,234,53.023882,18.61791
Jajcarnia,1.0,,256,53.023882,18.61791
Restauracja Olimpia Toruń,,,265,53.023882,18.61791
Kryta Pływalnia z Hotelikiem,,,273,53.023882,18.61791
Mr Chicken,1.0,,292,53.023882,18.61791
Atena. Pizzeria,1.0,,300,53.023882,18.61791
