name,price,rating,distance,category.plural,category.name
Weranda Chełmińska,2.0,7.5,842,Italian Restaurants,Italian
Czarny Tulipan. Pub,2.0,7.4,619,Restaurants,Restaurant
Czarny Tulipan. Pub,2.0,7.4,862,Restaurants,Restaurant
Czarny Tulipan. Pub,2.0,7.4,862,Bars,Bar
Czarny Tulipan. Pub,2.0,7.4,827,Restaurants,Restaurant
Czarny Tulipan. Pub,2.0,7.4,619,Bars,Bar
Czarny Tulipan. Pub,2.0,7.4,827,Bars,Bar
Czarny Tulipan. Pub,2.0,7.4,369,Bars,Bar
Czarny Tulipan. Pub,2.0,7.4,234,Restaurants,Restaurant
Czarny Tulipan. Pub,2.0,7.4,234,Bars,Bar
Czarny Tulipan. Pub,2.0,7.4,369,Restaurants,Restaurant
Azzurro,2.0,7.3,728,Italian Restaurants,Italian
Azzurro,2.0,7.3,489,Italian Restaurants,Italian
Azzurro,2.0,7.3,968,Italian Restaurants,Italian
Azzurro,2.0,7.3,298,Italian Restaurants,Italian
Azzurro,2.0,7.3,610,Italian Restaurants,Italian
Azzurro,2.0,7.3,335,Italian Restaurants,Italian
Azzurro,2.0,7.3,810,Italian Restaurants,Italian
Stare Metropolis,1.0,7.2,759,Polish Restaurants,Polish
Stare Metropolis,1.0,7.2,487,Pizzerias,Pizza
Stare Metropolis,1.0,7.2,584,Polish Restaurants,Polish
Stare Metropolis,1.0,7.2,584,Italian Restaurants,Italian
Stare Metropolis,1.0,7.2,759,Pizzerias,Pizza
Stare Metropolis,1.0,7.2,759,Italian Restaurants,Italian
Stare Metropolis,1.0,7.2,584,Pizzerias,Pizza
Stare Metropolis,1.0,7.2,487,Italian Restaurants,Italian
Stare Metropolis,1.0,7.2,487,Polish Restaurants,Polish
Stare Metropolis,1.0,7.2,658,Pizzerias,Pizza
Stare Metropolis,1.0,7.2,658,Italian Restaurants,Italian
Stare Metropolis,1.0,7.2,881,Pizzerias,Pizza
Stare Metropolis,1.0,7.2,658,Polish Restaurants,Polish
Stare Metropolis,1.0,7.2,382,Polish Restaurants,Polish
Stare Metropolis,1.0,7.2,447,Pizzerias,Pizza
Stare Metropolis,1.0,7.2,447,Polish Restaurants,Polish
Stare Metropolis,1.0,7.2,382,Pizzerias,Pizza
Stare Metropolis,1.0,7.2,881,Polish Restaurants,Polish
Stare Metropolis,1.0,7.2,881,Italian Restaurants,Italian
Stare Metropolis,1.0,7.2,757,Polish Restaurants,Polish
Stare Metropolis,1.0,7.2,757,Italian Restaurants,Italian
Stare Metropolis,1.0,7.2,757,Pizzerias,Pizza
Stare Metropolis,1.0,7.2,447,Italian Restaurants,Italian
Stare Metropolis,1.0,7.2,382,Italian Restaurants,Italian
Hotel Filmar,,7.1,743,Hotels,Hotel
Hotel Filmar,,7.1,944,Hotels,Hotel
Hotel Filmar,,7.1,497,Hotels,Hotel
Hotel Filmar,,7.1,805,Hotels,Hotel
Hotel Filmar,,7.1,899,Hotels,Hotel
Hotel Filmar,,7.1,310,Hotels,Hotel
Lizard King,,7.0,721,Bars,Bar
Lizard King,,7.0,721,Concert Halls,Concert Hall
Lizard King,,7.0,506,Bars,Bar
Lizard King,,7.0,506,Rock Clubs,Rock Club
Lizard King,,7.0,506,Concert Halls,Concert Hall
Lizard King,,7.0,703,Bars,Bar
Lizard King,,7.0,703,Rock Clubs,Rock Club
Lizard King,,7.0,703,Concert Halls,Concert Hall
Lizard King,,7.0,721,Rock Clubs,Rock Club
Od Nowa. Studencki klub pracy twórczej,1.0,6.8,502,Night Clubs,Night Club
Od Nowa. Studencki klub pracy twórczej,1.0,6.8,502,Pubs,Pub
Od Nowa. Studencki klub pracy twórczej,1.0,6.8,589,Pubs,Pub
Od Nowa. Studencki klub pracy twórczej,1.0,6.8,589,Night Clubs,Night Club
Od Nowa. Studencki klub pracy twórczej,1.0,6.8,20,Pubs,Pub
Od Nowa. Studencki klub pracy twórczej,1.0,6.8,20,Night Clubs,Night Club
Od Nowa. Studencki klub pracy twórczej,1.0,6.8,780,Night Clubs,Night Club
Od Nowa. Studencki klub pracy twórczej,1.0,6.8,859,Night Clubs,Night Club
Od Nowa. Studencki klub pracy twórczej,1.0,6.8,642,Night Clubs,Night Club
Od Nowa. Studencki klub pracy twórczej,1.0,6.8,780,Pubs,Pub
Od Nowa. Studencki klub pracy twórczej,1.0,6.8,642,Pubs,Pub
Od Nowa. Studencki klub pracy twórczej,1.0,6.8,672,Pubs,Pub
Od Nowa. Studencki klub pracy twórczej,1.0,6.8,672,Night Clubs,Night Club
Od Nowa. Studencki klub pracy twórczej,1.0,6.8,859,Pubs,Pub
Loft79,3.0,6.7,980,Pizzerias,Pizza
Loft79,3.0,6.7,731,Tapas Restaurants,Tapas
Loft79,3.0,6.7,980,Tapas Restaurants,Tapas
